prob,threshold,class_id,fp,tf
0.961383,0.250000,14,0.000000,0.000000
0.354611,0.250000,11,0.000000,0.000000
0.806362,0.250000,18,0.000000,0.000000
0.309881,0.250000,15,0.000000,0.000000
0.598706,0.250000,7,0.000000,0.000000
0.899974,0.250000,6,0.000000,0.000000
0.826539,0.250000,6,0.000000,0.000000
0.806665,0.250000,6,0.000000,0.000000
0.734378,0.250000,6,0.000000,0.000000
0.716159,0.250000,6,0.000000,0.000000
0.649850,0.250000,6,0.000000,0.000000
0.626124,0.250000,6,0.000000,0.000000
0.981161,0.250000,10,0.000000,0.000000
0.826414,0.250000,8,0.000000,0.000000
0.696286,0.250000,8,0.000000,0.000000
0.538189,0.250000,8,0.000000,0.000000
0.308267,0.250000,10,0.000000,0.000000
0.902693,0.250000,8,0.000000,0.000000
0.280722,0.250000,8,0.000000,0.000000
0.275259,0.250000,8,0.000000,0.000000
0.837635,0.250000,14,0.000000,0.000000
0.650800,0.250000,12,0.000000,0.000000
0.339603,0.250000,11,0.000000,0.000000
0.953269,0.250000,11,0.000000,0.000000
0.574101,0.250000,7,0.000000,0.000000
0.284207,0.250000,7,0.000000,0.000000
0.931860,0.250000,9,0.000000,0.000000
0.265635,0.250000,19,0.000000,0.000000
0.453360,0.250000,14,0.000000,0.000000
0.426046,0.250000,6,0.000000,0.000000
0.953742,0.250000,6,0.000000,0.000000
0.667331,0.250000,6,0.000000,0.000000
0.711018,0.250000,5,0.000000,0.000000
0.304685,0.250000,14,0.000000,0.000000
0.391485,0.250000,6,0.000000,0.000000
0.858040,0.250000,1,0.000000,0.000000
0.908204,0.250000,11,0.000000,0.000000
0.947300,0.250000,14,0.000000,0.000000
0.928797,0.250000,12,0.000000,0.000000
0.970180,0.250000,14,0.000000,0.000000
0.821617,0.250000,14,0.000000,0.000000
0.715059,0.250000,14,0.000000,0.000000
0.509243,0.250000,14,0.000000,0.000000
0.341260,0.250000,14,0.000000,0.000000
0.301000,0.250000,14,0.000000,0.000000
0.277778,0.250000,14,0.000000,0.000000
0.365224,0.250000,9,0.000000,0.000000
0.657374,0.250000,11,0.000000,0.000000
0.887291,0.250000,9,0.000000,0.000000
0.751805,0.250000,9,0.000000,0.000000
0.970847,0.250000,14,0.000000,0.000000
0.942701,0.250000,7,0.000000,0.000000
0.939595,0.250000,11,0.000000,0.000000
0.926098,0.250000,18,0.000000,0.000000
0.808262,0.250000,11,0.000000,0.000000
0.755035,0.250000,14,0.000000,0.000000
0.808750,0.250000,1,0.000000,0.000000
0.905535,0.250000,2,0.000000,0.000000
0.893644,0.250000,14,0.000000,0.000000
0.639890,0.250000,14,0.000000,0.000000
0.928472,0.250000,19,0.000000,0.000000
0.583090,0.250000,19,0.000000,0.000000
0.798134,0.250000,17,0.000000,0.000000
0.890266,0.250000,7,0.000000,0.000000
0.898743,0.250000,7,0.000000,0.000000
0.948599,0.250000,5,0.000000,0.000000
0.538526,0.250000,14,0.000000,0.000000
0.424870,0.250000,14,0.000000,0.000000
0.348362,0.250000,14,0.000000,0.000000
0.853174,0.250000,12,0.000000,0.000000
0.521527,0.250000,12,0.000000,0.000000
0.979938,0.250000,2,0.000000,0.000000
0.765544,0.250000,15,0.000000,0.000000
0.483275,0.250000,15,0.000000,0.000000
0.715163,0.250000,14,0.000000,0.000000
0.706247,0.250000,14,0.000000,0.000000
0.633461,0.250000,14,0.000000,0.000000
0.933378,0.250000,13,0.000000,0.000000
0.394585,0.250000,6,0.000000,0.000000
0.607077,0.250000,19,0.000000,0.000000
0.337747,0.250000,19,0.000000,0.000000
0.927275,0.250000,14,0.000000,0.000000
0.819064,0.250000,14,0.000000,0.000000
0.623192,0.250000,14,0.000000,0.000000
0.576079,0.250000,14,0.000000,0.000000
0.353734,0.250000,14,0.000000,0.000000
0.285081,0.250000,14,0.000000,0.000000
0.893692,0.250000,16,0.000000,0.000000
0.946982,0.250000,0,0.000000,0.000000
0.346848,0.250000,17,0.000000,0.000000
0.791531,0.250000,2,0.000000,0.000000
0.863158,0.250000,14,0.000000,0.000000
0.953248,0.250000,3,0.000000,0.000000
0.536983,0.250000,17,0.000000,0.000000
0.678941,0.250000,15,0.000000,0.000000
0.939712,0.250000,6,0.000000,0.000000
0.309117,0.250000,14,0.000000,0.000000
0.940550,0.250000,6,0.000000,0.000000
0.336599,0.250000,6,0.000000,0.000000
0.946397,0.250000,11,0.000000,0.000000
0.945110,0.250000,14,0.000000,0.000000
0.931547,0.250000,14,0.000000,0.000000
0.840448,0.250000,14,0.000000,0.000000
0.691841,0.250000,14,0.000000,0.000000
0.638582,0.250000,14,0.000000,0.000000
0.576419,0.250000,14,0.000000,0.000000
0.486601,0.250000,14,0.000000,0.000000
0.467041,0.250000,14,0.000000,0.000000
0.456935,0.250000,14,0.000000,0.000000
0.451120,0.250000,14,0.000000,0.000000
0.275864,0.250000,14,0.000000,0.000000
0.955794,0.250000,11,0.000000,0.000000
0.786576,0.250000,3,0.000000,0.000000
0.531579,0.250000,3,0.000000,0.000000
0.486836,0.250000,3,0.000000,0.000000
0.389527,0.250000,3,0.000000,0.000000
0.357792,0.250000,3,0.000000,0.000000
0.295737,0.250000,3,0.000000,0.000000
0.966110,0.250000,6,0.000000,0.000000
0.952240,0.250000,6,0.000000,0.000000
0.439128,0.250000,8,0.000000,0.000000
0.564986,0.250000,10,0.000000,0.000000
0.748695,0.250000,8,0.000000,0.000000
0.842747,0.250000,8,0.000000,0.000000
0.813119,0.250000,8,0.000000,0.000000
0.754603,0.250000,8,0.000000,0.000000
0.934391,0.250000,14,0.000000,0.000000
0.838816,0.250000,14,0.000000,0.000000
0.255635,0.250000,8,0.000000,0.000000
0.711613,0.250000,10,0.000000,0.000000
0.275884,0.250000,11,0.000000,0.000000
0.728997,0.250000,11,0.000000,0.000000
0.687280,0.250000,11,0.000000,0.000000
0.596907,0.250000,11,0.000000,0.000000
0.523832,0.250000,18,0.000000,0.000000
0.977139,0.250000,18,0.000000,0.000000
0.878170,0.250000,14,0.000000,0.000000
0.562622,0.250000,8,0.000000,0.000000
0.774630,0.250000,7,0.000000,0.000000
0.536478,0.250000,14,0.000000,0.000000
0.976475,0.250000,13,0.000000,0.000000
0.910380,0.250000,14,0.000000,0.000000
0.892937,0.250000,14,0.000000,0.000000
0.893521,0.250000,17,0.000000,0.000000
0.841734,0.250000,17,0.000000,0.000000
0.760511,0.250000,14,0.000000,0.000000
0.531962,0.250000,7,0.000000,0.000000
0.501425,0.250000,7,0.000000,0.000000
0.902459,0.250000,18,0.000000,0.000000
0.438459,0.250000,18,0.000000,0.000000
0.560276,0.250000,6,0.000000,0.000000
0.551929,0.250000,6,0.000000,0.000000
0.505079,0.250000,6,0.000000,0.000000
0.634839,0.250000,14,0.000000,0.000000
0.966543,0.250000,3,0.000000,0.000000
0.287262,0.250000,3,0.000000,0.000000
0.814915,0.250000,2,0.000000,0.000000
0.977882,0.250000,17,0.000000,0.000000
0.253339,0.250000,8,0.000000,0.000000
0.843616,0.250000,11,0.000000,0.000000
0.532931,0.250000,11,0.000000,0.000000
0.405745,0.250000,14,0.000000,0.000000
0.332666,0.250000,14,0.000000,0.000000
0.298825,0.250000,14,0.000000,0.000000
0.285139,0.250000,1,0.000000,0.000000
0.402260,0.250000,1,0.000000,0.000000
0.280208,0.250000,1,0.000000,0.000000
0.319051,0.250000,1,0.000000,0.000000
0.351220,0.250000,14,0.000000,0.000000
0.890762,0.250000,7,0.000000,0.000000
0.279633,0.250000,2,0.000000,0.000000
0.918983,0.250000,2,0.000000,0.000000
0.846937,0.250000,17,0.000000,0.000000
0.812491,0.250000,15,0.000000,0.000000
0.692668,0.250000,15,0.000000,0.000000
0.253881,0.250000,15,0.000000,0.000000
0.656051,0.250000,8,0.000000,0.000000
0.943580,0.250000,7,0.000000,0.000000
0.709464,0.250000,19,0.000000,0.000000
0.737943,0.250000,15,0.000000,0.000000
0.932564,0.250000,14,0.000000,0.000000
0.864133,0.250000,14,0.000000,0.000000
0.799288,0.250000,14,0.000000,0.000000
0.355115,0.250000,15,0.000000,0.000000
0.688566,0.250000,14,0.000000,0.000000
0.255304,0.250000,14,0.000000,0.000000
0.387864,0.250000,8,0.000000,0.000000
0.456128,0.250000,8,0.000000,0.000000
0.553964,0.250000,10,0.000000,0.000000
0.783970,0.250000,8,0.000000,0.000000
0.647467,0.250000,8,0.000000,0.000000
0.456479,0.250000,8,0.000000,0.000000
0.435863,0.250000,8,0.000000,0.000000
0.880811,0.250000,14,0.000000,0.000000
0.817279,0.250000,2,0.000000,0.000000
0.728822,0.250000,2,0.000000,0.000000
0.583330,0.250000,2,0.000000,0.000000
0.315557,0.250000,3,0.000000,0.000000
0.547506,0.250000,14,0.000000,0.000000
0.339205,0.250000,14,0.000000,0.000000
0.335219,0.250000,14,0.000000,0.000000
0.856803,0.250000,6,0.000000,0.000000
0.852751,0.250000,7,0.000000,0.000000
0.367499,0.250000,14,0.000000,0.000000
0.827285,0.250000,6,0.000000,0.000000
0.889797,0.250000,14,0.000000,0.000000
0.771609,0.250000,14,0.000000,0.000000
0.934619,0.250000,1,0.000000,0.000000
0.937390,0.250000,14,0.000000,0.000000
0.927281,0.250000,14,0.000000,0.000000
0.830493,0.250000,14,0.000000,0.000000
0.373540,0.250000,14,0.000000,0.000000
0.370733,0.250000,14,0.000000,0.000000
0.325693,0.250000,14,0.000000,0.000000
0.868369,0.250000,10,0.000000,0.000000
0.613174,0.250000,8,0.000000,0.000000
0.611266,0.250000,4,0.000000,0.000000
0.511125,0.250000,4,0.000000,0.000000
0.419430,0.250000,4,0.000000,0.000000
0.325924,0.250000,4,0.000000,0.000000
0.254764,0.250000,4,0.000000,0.000000
0.892082,0.250000,18,0.000000,0.000000
0.915492,0.250000,2,0.000000,0.000000
0.943993,0.250000,15,0.000000,0.000000
0.766875,0.250000,14,0.000000,0.000000
0.789479,0.250000,10,0.000000,0.000000
0.426680,0.250000,4,0.000000,0.000000
0.903659,0.250000,6,0.000000,0.000000
0.862334,0.250000,6,0.000000,0.000000
0.831374,0.250000,6,0.000000,0.000000
0.828869,0.250000,6,0.000000,0.000000
0.288126,0.250000,1,0.000000,0.000000
0.674676,0.250000,17,0.000000,0.000000
0.585295,0.250000,8,0.000000,0.000000
0.519701,0.250000,7,0.000000,0.000000
0.557637,0.250000,19,0.000000,0.000000
0.958050,0.250000,17,0.000000,0.000000
0.826959,0.250000,14,0.000000,0.000000
0.645923,0.250000,14,0.000000,0.000000
0.603165,0.250000,14,0.000000,0.000000
0.581419,0.250000,14,0.000000,0.000000
0.335594,0.250000,14,0.000000,0.000000
0.331328,0.250000,14,0.000000,0.000000
0.908549,0.250000,12,0.000000,0.000000
0.491959,0.250000,8,0.000000,0.000000
0.933989,0.250000,11,0.000000,0.000000
0.879467,0.250000,14,0.000000,0.000000
0.912052,0.250000,12,0.000000,0.000000
0.924506,0.250000,6,0.000000,0.000000
0.389086,0.250000,6,0.000000,0.000000
0.926259,0.250000,16,0.000000,0.000000
0.878416,0.250000,16,0.000000,0.000000
0.840699,0.250000,16,0.000000,0.000000
0.779109,0.250000,16,0.000000,0.000000
0.732644,0.250000,16,0.000000,0.000000
0.636116,0.250000,16,0.000000,0.000000
0.524706,0.250000,16,0.000000,0.000000
0.406942,0.250000,11,0.000000,0.000000
0.834388,0.250000,14,0.000000,0.000000
0.433128,0.250000,14,0.000000,0.000000
0.280135,0.250000,14,0.000000,0.000000
0.500267,0.250000,10,0.000000,0.000000
0.810568,0.250000,4,0.000000,0.000000
0.807865,0.250000,4,0.000000,0.000000
